Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Exact_Switch_Time
26.0,10,6.46078536648626,,,,,,2024-09-09 06:27:38.827319,
26.0,20,31.809911477545228,,,,,,2024-09-10 07:48:35.681319,
26.0,30,81.16030658506637,,,,,,2024-09-12 09:09:37.103706,
26.0,40,240.33702821377182,,,,,,2024-09-19 00:20:13.301570,
28.0,10,5.925451488105906,,,,,,2024-09-09 05:55:31.625357,
28.0,20,28.600573109895578,,,,,,2024-09-10 04:36:02.063196,
28.0,30,71.1355582662694,,,,,,2024-09-11 23:08:08.009759,
28.0,40,192.68345064690035,,,,,,2024-09-17 00:41:00.422329,
26.0,10,5.925451488105906,True,26.0,28.0,0.0,0.0,2024-09-09 05:55:31.625357,2024-09-09 00:00:00.000000
26.0,10,5.981472788575708,True,26.0,28.0,1.0,0.13358358006353344,2024-09-09 05:58:53.302039,2024-09-09 00:08:00.900888
26.0,10,6.071076969181733,True,26.0,28.0,2.0,0.5122271164408427,2024-09-09 06:04:15.877089,2024-09-09 00:30:44.017619
26.0,10,6.2060224537003625,True,26.0,28.0,3.0,1.0811024876160957,2024-09-09 06:12:21.680833,2024-09-09 01:04:51.968955
26.0,10,6.381014347088525,True,26.0,28.0,4.0,1.7622785016273714,2024-09-09 06:22:51.651650,2024-09-09 01:45:44.202606
26.0,10,6.432430899624829,True,26.0,28.0,5.0,2.334824643271693,2024-09-09 06:25:56.751239,2024-09-09 02:20:05.368716
26.0,10,6.476636994801677,True,26.0,28.0,6.0,2.913535517362787,2024-09-09 06:28:35.893181,2024-09-09 02:54:48.727863
26.0,10,6.510644484077896,True,26.0,28.0,7.0,3.531403026684842,2024-09-09 06:30:38.320143,2024-09-09 03:31:53.050896
26.0,10,6.28616692720142,True,26.0,28.0,8.0,4.033355009512004,2024-09-09 06:17:10.200938,2024-09-09 04:02:00.078034
26.0,10,6.5660062845165665,True,26.0,28.0,9.0,5.2966773917274015,2024-09-09 06:33:57.622624,2024-09-09 05:17:48.038610
26.0,20,28.600573109895578,True,26.0,28.0,0.0,0.0,2024-09-10 04:36:02.063196,2024-09-09 00:00:00.000000
26.0,20,28.65659441036538,True,26.0,28.0,1.0,0.13358358006353344,2024-09-10 04:39:23.739877,2024-09-09 00:08:00.900888
26.0,20,28.746198590971407,True,26.0,28.0,2.0,0.5122271164408427,2024-09-10 04:44:46.314927,2024-09-09 00:30:44.017619
26.0,20,28.881144075490035,True,26.0,28.0,3.0,1.0811024876160957,2024-09-10 04:52:52.118672,2024-09-09 01:04:51.968955
26.0,20,29.056135968878195,True,26.0,28.0,4.0,1.7622785016273714,2024-09-10 05:03:22.089488,2024-09-09 01:45:44.202606
26.0,20,29.107552521414505,True,26.0,28.0,5.0,2.334824643271693,2024-09-10 05:06:27.189077,2024-09-09 02:20:05.368716
26.0,20,29.15175861659135,True,26.0,28.0,6.0,2.913535517362787,2024-09-10 05:09:06.331020,2024-09-09 02:54:48.727863
26.0,20,29.185766105867568,True,26.0,28.0,7.0,3.531403026684842,2024-09-10 05:11:08.757981,2024-09-09 03:31:53.050896
26.0,20,28.961288548991092,True,26.0,28.0,8.0,4.033355009512004,2024-09-10 04:57:40.638776,2024-09-09 04:02:00.078034
26.0,20,29.24112790630624,True,26.0,28.0,9.0,5.2966773917274015,2024-09-10 05:14:28.060463,2024-09-09 05:17:48.038610
26.0,20,29.13590698827593,True,26.0,28.0,10.0,6.46078536648626,2024-09-10 05:08:09.265158,2024-09-09 06:27:38.827319
26.0,20,29.367551228072323,True,26.0,28.0,11.0,8.286593109090555,2024-09-10 05:22:03.184421,2024-09-09 08:17:11.735193
26.0,20,29.42011470201188,True,26.0,28.0,12.0,10.25960597437187,2024-09-10 05:25:12.412927,2024-09-09 10:15:34.581508
26.0,20,30.11617319110391,True,26.0,28.0,13.0,13.10577846334624,2024-09-10 06:06:58.223488,2024-09-09 13:06:20.802468
26.0,20,29.698168120290404,True,26.0,28.0,14.0,14.948304910896873,2024-09-10 05:41:53.405233,2024-09-09 14:56:53.897679
26.0,20,29.74255757199897,True,26.0,28.0,15.0,17.507005440871744,2024-09-10 05:44:33.207259,2024-09-09 17:30:25.219587
26.0,20,30.276837694362975,True,26.0,28.0,16.0,20.863920810085162,2024-09-10 06:16:36.615700,2024-09-09 20:51:50.114916
26.0,20,31.987605495437748,True,26.0,28.0,17.0,25.265772136385984,2024-09-10 07:59:15.379784,2024-09-10 01:15:56.779691
26.0,20,30.555800584821146,True,26.0,28.0,18.0,25.959047947073508,2024-09-10 06:33:20.882105,2024-09-10 01:57:32.572609
26.0,20,29.76861882939778,True,26.0,28.0,19.0,27.25203623254268,2024-09-10 05:46:07.027786,2024-09-10 03:15:07.330437
26.0,30,71.1355582662694,True,26.0,28.0,0.0,0.0,2024-09-11 23:08:08.009759,2024-09-09 00:00:00.000000
26.0,30,71.1915795667392,True,26.0,28.0,1.0,0.13358358006353344,2024-09-11 23:11:29.686440,2024-09-09 00:08:00.900888
26.0,30,71.28118374734522,True,26.0,28.0,2.0,0.5122271164408427,2024-09-11 23:16:52.261490,2024-09-09 00:30:44.017619
26.0,30,71.41612923186385,True,26.0,28.0,3.0,1.0811024876160957,2024-09-11 23:24:58.065235,2024-09-09 01:04:51.968955
26.0,30,71.59112112525203,True,26.0,28.0,4.0,1.7622785016273714,2024-09-11 23:35:28.036051,2024-09-09 01:45:44.202606
26.0,30,71.64253767778831,True,26.0,28.0,5.0,2.334824643271693,2024-09-11 23:38:33.135640,2024-09-09 02:20:05.368716
26.0,30,71.68674377296517,True,26.0,28.0,6.0,2.913535517362787,2024-09-11 23:41:12.277583,2024-09-09 02:54:48.727863
26.0,30,71.7207512622414,True,26.0,28.0,7.0,3.531403026684842,2024-09-11 23:43:14.704544,2024-09-09 03:31:53.050896
26.0,30,71.49627370536491,True,26.0,28.0,8.0,4.033355009512004,2024-09-11 23:29:46.585339,2024-09-09 04:02:00.078034
26.0,30,71.77611306268005,True,26.0,28.0,9.0,5.2966773917274015,2024-09-11 23:46:34.007026,2024-09-09 05:17:48.038610
26.0,30,71.67089214464976,True,26.0,28.0,10.0,6.46078536648626,2024-09-11 23:40:15.211721,2024-09-09 06:27:38.827319
26.0,30,71.90253638444615,True,26.0,28.0,11.0,8.286593109090555,2024-09-11 23:54:09.130984,2024-09-09 08:17:11.735193
26.0,30,71.9550998583857,True,26.0,28.0,12.0,10.25960597437187,2024-09-11 23:57:18.359490,2024-09-09 10:15:34.581508
