Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time
18.0,10,9.896166474497463,False,,,,,2024-09-16 18:53:46.199308,2024-09-16 09:00:00,
18.0,20,42.45540559439726,False,,,,,2024-09-18 03:27:19.460140,2024-09-16 09:00:00,
18.0,30,110.99084529566125,False,,,,,2024-09-20 23:59:27.043064,2024-09-16 09:00:00,
18.0,40,289.6735889670997,False,,,,,2024-09-28 10:40:24.920282,2024-09-16 09:00:00,
20.0,10,7.684565314636188,False,,,,,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,
20.0,20,37.87462441098541,False,,,,,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,
20.0,30,103.55929980215483,False,,,,,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,
20.0,40,282.55327792723295,False,,,,,2024-09-28 03:33:11.800538,2024-09-16 09:00:00,
26.0,10,6.46078536648626,False,,,,,2024-09-16 15:27:38.827319,2024-09-16 09:00:00,
26.0,20,31.809911477547047,False,,,,,2024-09-17 16:48:35.681319,2024-09-16 09:00:00,
26.0,30,81.16030658506637,False,,,,,2024-09-19 18:09:37.103706,2024-09-16 09:00:00,
26.0,40,240.33702821377182,False,,,,,2024-09-26 09:20:13.301570,2024-09-16 09:00:00,
28.0,10,5.925451488105906,False,,,,,2024-09-16 14:55:31.625357,2024-09-16 09:00:00,
28.0,20,28.600573109895578,False,,,,,2024-09-17 13:36:02.063196,2024-09-16 09:00:00,
28.0,30,71.1355582662694,False,,,,,2024-09-19 08:08:08.009759,2024-09-16 09:00:00,
28.0,40,192.68345064690354,False,,,,,2024-09-24 09:41:00.422329,2024-09-16 09:00:00,
32.0,10,2.7867021148445783,False,,,,,2024-09-16 11:47:12.127613,2024-09-16 09:00:00,
32.0,20,21.73779124452033,False,,,,,2024-09-17 06:44:16.048480,2024-09-16 09:00:00,
32.0,30,49.888824446444744,False,,,,,2024-09-18 10:53:19.768007,2024-09-16 09:00:00,
32.0,40,147.9415480854382,False,,,,,2024-09-22 12:56:29.573108,2024-09-16 09:00:00,
18.0,10,7.684565314636188,True,18.0,20.0,0.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,10,7.684565314636188,True,18.0,20.0,1.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,10,7.684565314636188,True,18.0,20.0,2.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,10,7.972696383877025,True,18.0,20.0,3.0,0.288131069240837,2024-09-16 16:58:21.706982,2024-09-16 09:00:00,2024-09-16 09:17:17.271849
18.0,10,8.709093749887955,True,18.0,20.0,4.0,1.0245284352517672,2024-09-16 17:42:32.737500,2024-09-16 09:00:00,2024-09-16 10:01:28.302367
18.0,10,8.933709645466642,True,18.0,20.0,5.0,1.9958547647664506,2024-09-16 17:56:01.354724,2024-09-16 09:00:00,2024-09-16 10:59:45.077153
18.0,10,9.139077624594698,True,18.0,20.0,6.0,3.1809430792268643,2024-09-16 18:08:20.679449,2024-09-16 09:00:00,2024-09-16 12:10:51.395085
18.0,10,9.340736092871257,True,18.0,20.0,7.0,4.567141433576214,2024-09-16 18:20:26.649934,2024-09-16 09:00:00,2024-09-16 13:34:01.709161
18.0,10,9.53722318007913,True,18.0,20.0,8.0,6.148718473408113,2024-09-16 18:32:14.003448,2024-09-16 09:00:00,2024-09-16 15:08:55.386504
18.0,10,9.723687511628738,True,18.0,20.0,9.0,7.924623949797507,2024-09-16 18:43:25.275042,2024-09-16 09:00:00,2024-09-16 16:55:28.646219
18.0,20,37.87462441098541,True,18.0,20.0,0.0,0.0,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,20,37.87462441098541,True,18.0,20.0,1.0,0.0,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,20,37.87462441098541,True,18.0,20.0,2.0,0.0,2024-09-17 22:52:28.647880,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,20,38.16275548022625,True,18.0,20.0,3.0,0.288131069240837,2024-09-17 23:09:45.919729,2024-09-16 09:00:00,2024-09-16 09:17:17.271849
18.0,20,38.89915284623718,True,18.0,20.0,4.0,1.0245284352517672,2024-09-17 23:53:56.950246,2024-09-16 09:00:00,2024-09-16 10:01:28.302367
18.0,20,39.123768741815866,True,18.0,20.0,5.0,1.9958547647664506,2024-09-18 00:07:25.567471,2024-09-16 09:00:00,2024-09-16 10:59:45.077153
18.0,20,39.32913672094392,True,18.0,20.0,6.0,3.1809430792268643,2024-09-18 00:19:44.892195,2024-09-16 09:00:00,2024-09-16 12:10:51.395085
18.0,20,39.530795189220484,True,18.0,20.0,7.0,4.567141433576214,2024-09-18 00:31:50.862681,2024-09-16 09:00:00,2024-09-16 13:34:01.709161
18.0,20,39.727282276428355,True,18.0,20.0,8.0,6.148718473408113,2024-09-18 00:43:38.216195,2024-09-16 09:00:00,2024-09-16 15:08:55.386504
18.0,20,39.91374660797796,True,18.0,20.0,9.0,7.924623949797507,2024-09-18 00:54:49.487789,2024-09-16 09:00:00,2024-09-16 16:55:28.646219
18.0,20,40.086225570846686,True,18.0,20.0,10.0,9.896166474497463,2024-09-18 01:05:10.412055,2024-09-16 09:00:00,2024-09-16 18:53:46.199308
18.0,20,40.244577796203615,True,18.0,20.0,11.0,12.06530209193749,2024-09-18 01:14:40.480066,2024-09-16 09:00:00,2024-09-16 21:03:55.087531
18.0,20,40.39356804823036,True,18.0,20.0,12.0,14.434048270882329,2024-09-18 01:23:36.844974,2024-09-16 09:00:00,2024-09-16 23:26:02.573775
18.0,20,40.542084300227074,True,18.0,20.0,13.0,17.005201454903037,2024-09-18 01:32:31.503481,2024-09-16 09:00:00,2024-09-17 02:00:18.725238
18.0,20,40.70159755819234,True,18.0,20.0,14.0,19.78424596725867,2024-09-18 01:42:05.751209,2024-09-16 09:00:00,2024-09-17 04:47:03.285482
18.0,20,40.88588671517504,True,18.0,20.0,15.0,22.78233041808332,2024-09-18 01:53:09.192175,2024-09-16 09:00:00,2024-09-17 07:46:56.389505
18.0,20,41.11086968898745,True,18.0,20.0,16.0,26.02042729552695,2024-09-18 02:06:39.130880,2024-09-16 09:00:00,2024-09-17 11:01:13.538264
18.0,20,41.38931551573781,True,18.0,20.0,17.0,29.53472084141339,2024-09-18 02:23:21.535857,2024-09-16 09:00:00,2024-09-17 14:32:04.995029
18.0,20,41.72055779036702,True,18.0,20.0,18.0,33.38263841759109,2024-09-18 02:43:14.008045,2024-09-16 09:00:00,2024-09-17 18:22:57.498303
18.0,20,42.08557590491792,True,18.0,20.0,19.0,37.649054871715364,2024-09-18 03:05:08.073258,2024-09-16 09:00:00,2024-09-17 22:38:56.597538
18.0,30,103.55929980215483,True,18.0,20.0,0.0,0.0,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,30,103.55929980215483,True,18.0,20.0,1.0,0.0,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,30,103.55929980215483,True,18.0,20.0,2.0,0.0,2024-09-20 16:33:33.479288,2024-09-16 09:00:00,2024-09-16 09:00:00.000000
18.0,30,103.84743087139566,True,18.0,20.0,3.0,0.288131069240837,2024-09-20 16:50:50.751137,2024-09-16 09:00:00,2024-09-16 09:17:17.271849
18.0,30,104.58382823740659,True,18.0,20.0,4.0,1.0245284352517672,2024-09-20 17:35:01.781655,2024-09-16 09:00:00,2024-09-16 10:01:28.302367
18.0,30,104.80844413298527,True,18.0,20.0,5.0,1.9958547647664506,2024-09-20 17:48:30.398879,2024-09-16 09:00:00,2024-09-16 10:59:45.077153
18.0,30,105.01381211211333,True,18.0,20.0,6.0,3.1809430792268643,2024-09-20 18:00:49.723604,2024-09-16 09:00:00,2024-09-16 12:10:51.395085
18.0,30,105.21547058038989,True,18.0,20.0,7.0,4.567141433576214,2024-09-20 18:12:55.694089,2024-09-16 09:00:00,2024-09-16 13:34:01.709161
18.0,30,105.41195766759776,True,18.0,20.0,8.0,6.148718473408113,2024-09-20 18:24:43.047603,2024-09-16 09:00:00,2024-09-16 15:08:55.386504
18.0,30,105.59842199914738,True,18.0,20.0,9.0,7.924623949797507,2024-09-20 18:35:54.319197,2024-09-16 09:00:00,2024-09-16 16:55:28.646219
18.0,30,105.7709009620161,True,18.0,20.0,10.0,9.896166474497463,2024-09-20 18:46:15.243463,2024-09-16 09:00:00,2024-09-16 18:53:46.199308
18.0,30,105.92925318737304,True,18.0,20.0,11.0,12.06530209193749,2024-09-20 18:55:45.311475,2024-09-16 09:00:00,2024-09-16 21:03:55.087531
18.0,30,106.07824343939977,True,18.0,20.0,12.0,14.434048270882329,2024-09-20 19:04:41.676382,2024-09-16 09:00:00,2024-09-16 23:26:02.573775
18.0,30,106.2267596913965,True,18.0,20.0,13.0,17.005201454903037,2024-09-20 19:13:36.334889,2024-09-16 09:00:00,2024-09-17 02:00:18.725238
18.0,30,106.38627294936175,True,18.0,20.0,14.0,19.78424596725867,2024-09-20 19:23:10.582618,2024-09-16 09:00:00,2024-09-17 04:47:03.285482
18.0,30,106.57056210634445,True,18.0,20.0,15.0,22.78233041808332,2024-09-20 19:34:14.023583,2024-09-16 09:00:00,2024-09-17 07:46:56.389505
18.0,30,106.79554508015687,True,18.0,20.0,16.0,26.02042729552695,2024-09-20 19:47:43.962289,2024-09-16 09:00:00,2024-09-17 11:01:13.538264
18.0,30,107.07399090690723,True,18.0,20.0,17.0,29.53472084141339,2024-09-20 20:04:26.367265,2024-09-16 09:00:00,2024-09-17 14:32:04.995029
18.0,30,107.40523318153643,True,18.0,20.0,18.0,33.38263841759109,2024-09-20 20:24:18.839454,2024-09-16 09:00:00,2024-09-17 18:22:57.498303
18.0,30,107.77025129608732,True,18.0,20.0,19.0,37.649054871715364,2024-09-20 20:46:12.904666,2024-09-16 09:00:00,2024-09-17 22:38:56.597538
18.0,30,108.14008098556667,True,18.0,20.0,20.0,42.45540559439726,2024-09-20 21:08:24.291548,2024-09-16 09:00:00,2024-09-18 03:27:19.460140
18.0,30,108.51012704670077,True,18.0,20.0,21.0,47.990175796298715,2024-09-20 21:30:36.457368,2024-09-16 09:00:00,2024-09-18 08:59:24.632867
18.0,30,108.95785183453211,True,18.0,20.0,22.0,54.551912274762536,2024-09-20 21:57:28.266604,2024-09-16 09:00:00,2024-09-18 15:33:06.884189
18.0,30,109.38909182419519,True,18.0,20.0,23.0,62.28163418084479,2024-09-20 22:23:20.730567,2024-09-16 09:00:00,2024-09-18 23:16:53.883051
