Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
28.0,10,2.7748120484629553,True,28.0,32.0,0.0,0.0,2024-09-16 11:46:29.323374,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,11:46:29.323374,0.0,09:00:00
32.0,10,2.7867021148445783,False,,,,,2024-09-16 11:47:12.127613,2024-09-16 09:00:00,,0,11:47:12.127613,,
28.0,10,2.864264394438309,True,28.0,32.0,1.0,0.07756227959373074,2024-09-16 11:51:51.351820,2024-09-16 09:00:00,2024-09-16 09:04:39.224207,0,11:51:51.351820,0.0,09:04:39.224207
32.0,10,3.023006068364932,True,32.0,28.0,9.0,1.753677175575767,2024-09-16 12:01:22.821846,2024-09-16 09:00:00,2024-09-16 10:45:13.237832,0,12:01:22.821846,0.0,10:45:13.237832
28.0,10,3.153303750209594,True,28.0,32.0,2.0,0.3666016353650159,2024-09-16 12:09:11.893501,2024-09-16 09:00:00,2024-09-16 09:21:59.765887,0,12:09:11.893501,0.0,09:21:59.765887
32.0,10,3.175061822355084,True,32.0,28.0,8.0,0.9222499046656676,2024-09-16 12:10:30.222560,2024-09-16 09:00:00,2024-09-16 09:55:20.099657,0,12:10:30.222560,0.0,09:55:20.099657
32.0,10,3.2576140900406587,True,32.0,28.0,7.0,0.2783726326476046,2024-09-16 12:15:27.410724,2024-09-16 09:00:00,2024-09-16 09:16:42.141478,0,12:15:27.410724,0.0,09:16:42.141478
32.0,10,3.56310147743889,True,32.0,28.0,6.0,0.0,2024-09-16 12:33:47.165319,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,12:33:47.165319,0.0,09:00:00
28.0,10,3.587233636866217,True,28.0,32.0,3.0,0.8005315220216386,2024-09-16 12:35:14.041093,2024-09-16 09:00:00,2024-09-16 09:48:01.913479,0,12:35:14.041093,0.0,09:48:01.913479
28.0,10,4.0934177574893305,True,28.0,32.0,4.0,1.3067156426447524,2024-09-16 13:05:36.303927,2024-09-16 09:00:00,2024-09-16 10:18:24.176314,0,13:05:36.303927,0.0,10:18:24.176314
32.0,10,4.097606256353136,True,32.0,28.0,5.0,0.0,2024-09-16 13:05:51.382523,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,13:05:51.382523,0.0,09:00:00
28.0,10,4.614547346597348,True,28.0,32.0,5.0,1.8278452317527698,2024-09-16 13:36:52.370448,2024-09-16 09:00:00,2024-09-16 10:49:40.242834,0,13:36:52.370448,0.0,10:49:40.242834
32.0,10,4.618735845461154,True,32.0,28.0,4.0,0.0,2024-09-16 13:37:07.449044,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,13:37:07.449044,0.0,09:00:00
32.0,10,5.124919966084267,True,32.0,28.0,3.0,0.0,2024-09-16 14:07:29.711878,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,14:07:29.711878,0.0,09:00:00
28.0,10,5.149052125511594,True,28.0,32.0,6.0,2.362350010667016,2024-09-16 14:08:56.587652,2024-09-16 09:00:00,2024-09-16 11:21:44.460038,0,14:08:56.587652,0.0,11:21:44.460038
28.0,10,5.454539512909825,True,28.0,32.0,7.0,2.9462100307128516,2024-09-16 14:27:16.342246,2024-09-16 09:00:00,2024-09-16 11:56:46.356111,0,14:27:16.342246,0.0,11:56:46.356111
28.0,10,5.5370917805954,True,28.0,32.0,8.0,3.6726395704164894,2024-09-16 14:32:13.530410,2024-09-16 09:00:00,2024-09-16 12:40:21.502453,0,14:32:13.530410,0.0,12:40:21.502453
