Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,End_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
28.0,10,5.924889194895513,True,28.0,26.0,9.0,4.7607916217748425,2024-11-29 15:30:00,2024-11-29 09:34:30.398898,2024-11-29 14:20:09.248736,4,09:34:30.398898,4.0,14:20:09.248736
26.0,10,5.961907201104623,True,26.0,28.0,2.0,0.5032644079765305,2024-11-29 15:30:00,2024-11-29 09:32:17.134076,2024-11-29 10:02:28.885945,4,09:32:17.134076,4.0,10:02:28.885945
26.0,10,5.9631473712288425,True,26.0,28.0,1.0,0.13796123473730404,2024-11-29 15:30:00,2024-11-29 09:32:12.669464,2024-11-29 09:40:29.329909,4,09:32:12.669464,4.0,09:40:29.329909
28.0,10,6.007210265517642,False,,,,,2024-11-29 15:30:00,2024-11-29 09:29:34.043044,,4,09:29:34.043044,,
26.0,10,6.014022032213688,True,26.0,28.0,0.0,0.0068117666960461065,2024-11-29 15:30:00,2024-11-29 09:29:09.520684,2024-11-29 09:29:34.043044,4,09:29:09.520684,4.0,09:29:34.043044
28.0,10,6.034454889348126,True,28.0,26.0,7.0,3.105171019284171,2024-11-29 15:30:00,2024-11-29 09:27:55.962398,2024-11-29 12:34:14.578067,4,09:27:55.962398,4.0,12:34:14.578067
26.0,10,6.071240266937821,True,26.0,28.0,3.0,1.0836098595173098,2024-11-29 15:30:00,2024-11-29 09:25:43.535039,2024-11-29 10:30:44.530533,4,09:25:43.535039,4.0,10:30:44.530533
28.0,10,6.0965918797810446,True,28.0,26.0,6.0,2.5494451535341796,2024-11-29 15:30:00,2024-11-29 09:24:12.269233,2024-11-29 11:57:10.271786,4,09:24:12.269233,4.0,11:57:10.271786
28.0,10,6.164547103238874,True,28.0,26.0,5.0,2.0390995148118236,2024-11-29 15:30:00,2024-11-29 09:20:07.630428,2024-11-29 11:22:28.388681,4,09:20:07.630428,4.0,11:22:28.388681
28.0,10,6.230345429205045,True,28.0,26.0,4.0,1.5318241665590904,2024-11-29 15:30:00,2024-11-29 09:16:10.756455,2024-11-29 10:48:05.323455,4,09:16:10.756455,4.0,10:48:05.323455
28.0,10,6.230804661376169,True,28.0,26.0,8.0,3.8033973154815612,2024-11-29 15:30:00,2024-11-29 09:16:09.103219,2024-11-29 13:04:21.333555,4,09:16:09.103219,4.0,13:04:21.333555
26.0,10,6.2371717923815595,True,26.0,28.0,8.0,4.0333588423454785,2024-11-29 15:30:00,2024-11-29 09:15:46.181547,2024-11-29 13:17:46.273379,4,09:15:46.181547,4.0,13:17:46.273379
26.0,10,6.237631024552684,True,26.0,28.0,4.0,1.762244925594132,2024-11-29 15:30:00,2024-11-29 09:15:44.528312,2024-11-29 11:01:28.610044,4,09:15:44.528312,4.0,11:01:28.610044
26.0,10,6.303429350518854,True,26.0,28.0,5.0,2.3353185998130357,2024-11-29 15:30:00,2024-11-29 09:11:47.654338,2024-11-29 11:31:54.801297,4,09:11:47.654338,4.0,11:31:54.801297
26.0,10,6.371384573976684,True,26.0,28.0,6.0,2.913619461993221,2024-11-29 15:30:00,2024-11-29 09:07:43.015534,2024-11-29 12:02:32.045597,4,09:07:43.015534,4.0,12:02:32.045597
28.0,10,6.396736186819908,True,28.0,26.0,3.0,1.0195798580971314,2024-11-29 15:30:00,2024-11-29 09:06:11.749727,2024-11-29 10:07:22.237216,4,09:06:11.749727,4.0,10:07:22.237216
26.0,10,6.433521564409602,True,26.0,28.0,7.0,3.5314823181761312,2024-11-29 15:30:00,2024-11-29 09:03:59.322368,2024-11-29 12:35:52.658713,4,09:03:59.322368,4.0,12:35:52.658713
28.0,10,6.45395442154404,True,28.0,26.0,0.0,0.0,2024-11-29 15:30:00,2024-11-29 09:02:45.764082,2024-11-29 09:02:45.764082,4,09:02:45.764082,4.0,09:02:45.764082
26.0,10,6.460766188240086,False,,,,,2024-11-29 15:30:00,2024-11-29 09:02:21.241722,,4,09:02:21.241722,,
26.0,20,28.565519520683665,True,26.0,28.0,2.0,0.5032644079765305,2024-11-29 15:30:00,2024-11-28 10:56:04.129726,2024-11-28 11:26:15.881595,3,10:56:04.129726,3.0,11:26:15.881595
26.0,20,28.566759690807885,True,26.0,28.0,1.0,0.13796123473730404,2024-11-29 15:30:00,2024-11-28 10:55:59.665113,2024-11-28 11:04:16.325558,3,10:55:59.665113,3.0,11:04:16.325558
28.0,20,28.610822585096685,False,,,,,2024-11-29 15:30:00,2024-11-28 10:53:21.038694,,3,10:53:21.038694,,
26.0,20,28.61763435179273,True,26.0,28.0,0.0,0.0068117666960461065,2024-11-29 15:30:00,2024-11-28 10:52:56.516334,2024-11-28 10:53:21.038694,3,10:52:56.516334,3.0,10:53:21.038694
